"","TransactionID","ClassDesc","DeptDesc","Brand","Units"
"107",-1121778412,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"888",-1127563344,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",3
"948",-1121778724,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"1044",-1121778244,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"2066",-1121778588,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"2460",-1127563646,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"2748",-1121778390,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"2922",-1121778778,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"2929",-1121778713,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"3175",-1121778440,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"3374",-1127563431,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"3511",-1127567623,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"4157",-1127581280,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",4
"4201",-1127581248,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"5635",-1127567847,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"5760",-1127612621,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"6460",-1127581285,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"6500",-1127581435,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"6584",-1127563373,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"7876",-1127563348,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"7933",-1127581252,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"8151",-1127581316,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"9014",-1127612399,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"9468",-1127656568,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"9559",-1127657117,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"9773",-1127594719,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"10046",-1127656687,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"12711",-1127686573,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"13109",-1127685167,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"13237",-1127678413,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"14472",-1127678426,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"14611",-1127678745,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"15642",-1127657354,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"15831",-1127657073,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"16151",-1127678287,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"17829",-1127714770,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"18037",-1127713325,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"19726",-1127707179,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"20090",-1127715049,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"20330",-1127715039,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"20732",-1127707259,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"22411",-1123973970,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"22584",-1127755375,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"23175",-1127730464,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"23244",-1127707630,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"25109",-1124033797,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"26011",-1124036951,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"26808",-1124050743,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"27107",-1124033898,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"27636",-1124050606,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"28571",-1124034295,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"28796",-1124043532,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"29103",-1124043284,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"29952",-1127594063,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"30042",-1127588436,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"30439",-1127579250,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"31243",-1127586740,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"31470",-1127587029,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"31809",-1124050408,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"31870",-1124050550,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"31961",-1127585824,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"32464",-1124050231,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"32954",-1123973405,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"34363",-1127587559,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"36055",-1127587378,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"37369",-1127594899,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"38984",-1127593890,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"39972",-1127623976,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"40466",-1127654394,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"40489",-1127588956,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"40575",-1127609225,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"40966",-1127609317,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"41024",-1127630648,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"41197",-1127588776,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"41566",-1127579251,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"42576",-1127583100,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"42825",-1127586810,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"43564",-1127677579,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"43734",-1127676901,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"44279",-1127653503,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"44310",-1127583457,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"45478",-1127648878,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"46758",-1127623914,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"47758",-1127624865,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"47815",-1127656466,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"47900",-1127630898,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"48580",-1127586864,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"48815",-1127654473,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",2
"49679",-1127630603,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"49978",-1127630903,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
"51759",-1127676717,"NON-CARBONATED DROPSHIP","CANDY & SNACKS","RED BULL",1
